site_id,survey_id,static_descriptors_reef_id (archived field),reef_name,orientation_of_transect,coordinates_in_decimal_degree_format,longitude_degrees,longitude_minutes,longitude_seconds,longitude_cardinal_direction,latitude_degrees,latitude_minutes,latitude_seconds,latitude_cardinal_direction,country,state_province_island,city_town,region,distance_from_shore (m),distance_from_nearest_river (km),distance_to_nearest_popn (km),errors,what_errors,year,date,depth (m),time_of_day_work_began,time_of_day_work_ended,method_used_to_determine_location (archived field),river_mouth_width,weather,air_temp (C),water_temp_at_surface (C),water_temp_at_3_m (C),water_temp_at_10_m (C),approx_popn_size_x_1000,horizontal_visibility_in_water (m),best_reef_area,why_was_this_site_selected,sheltered_or_exposed,any_major_storms_in_last_years,when_storms,overall_anthro_impact,what_kind_of_impacts (archived field),siltation,dynamite_fishing,poison_fishing,aquarium_fish_collection,harvest_of_inverts_for_food,harvest_of_inverts_for_curio,tourist_diving_snorkeling,sewage_pollution,industrial_pollution,commercial_fishing,live_food_fishing,artisinal_recreational,other_forms_of_fishing (archived field),other_fishing (archived field),yachts,level_of_other_impacts (archived field),other_impacts,is_site_protected,is_protection_enforced,level_of_poaching,spearfishing,banned_commercial_fishing,recreational_fishing,invertebrate_shell_collection,anchoring,diving,other_specify,nature_of_protection (archived field),site_comments,substrate_comments,fish_comments,inverts_comments,comments_from_organism_sheet (archived field),grouper_size (archived field),percent_bleaching (archived field),percent_colonies_bleached (archived field),percent_of_each_colony (archived field),suspected_disease (archived field),rare_animals_details,submitted_by (archived field)
e0fe0963-fc55-4f73-8abf-f124f4ddc9e4,026dc8d9-09ac-4a64-8ecf-8e1d5090d347,145.59.25.73E.16.55.30.5S,Fitzroy Island -  White Rock Site 1,"","-16.92514, 145.99048",145,59,25.73,E,16,55,30.5,S,Australia,"","",Indo-Pacific,"","","","","",2019,28-January-19,5.0, 2:00 pm,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",No,No,No,No,No,No,"","",no site description; only surveyed inverts,"",did not record fish,"","","","","","","","",""
aaf1e8c1-504c-47ae-9560-cb0794b4ce9f,028a5591-c5cc-4536-b316-ee0b7a8205a4,153.23.4.6E.27.31.3.7S,Goat Island - Goat Island (Fringing reef leeward) Site 1,"","-27.517694, 153.384611",153,23,4.6,E,27,31,3.7,S,Australia,"","",Indo-Pacific,"","","",true,did not record fish,2015,10-January-15,2.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",false,"","","","","","","","","","","","",D.A. 1  RCTA,"","","","","","","","",""
5c7e7b9e-d804-4e90-bd6d-c7a5682edcb5,029bbbeb-02ea-4387-a622-794d2d7b2938,151.55.25.7E.23.27.17.3S,Heron Reef - Canyons (Back reef slope) Site 1,"","-23.454806, 151.923806",151,55,25.7,E,23,27,17.3,S,Australia,Queensland,"",Indo-Pacific,"","","",true,did not record fish,2014,08-November-14,6.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",false,"","","","","","","","","","","","",DA 1 = Turf AlgaeDA 2 = Padina,"","","","","","","","",""
415feb6e-6ecf-4746-8a20-9347cd487af8,02e55778-1fdd-419c-8976-d7f34b918121,153.25.8.73E.27.55.54.18S,Wavebreak Island - Wavebreak Island North Site 1,"","-27.931717, 153.419093",153,25,8.73,E,27,55,54.18,S,Australia,"","",Indo-Pacific,"","","","","",2022,06-October-22,9.0, 6:05 am,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",No,No,No,No,No,No,"","",no site description,"","","","","","","","","","",""
aaf1e8c1-504c-47ae-9560-cb0794b4ce9f,02f41a24-dd74-4e92-a3e9-910a8c97c409,153.23.4.6E.27.31.3.7S,Goat Island - Goat Island (Fringing reef leeward) Site 1,"","-27.517694, 153.384611",153,23,4.6,E,27,31,3.7,S,Australia,"","",Indo-Pacific,"","","",true,did not survey fish or inverts,2012,02-February-12,2.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",false,"","","","","","","","","","","","","disease % per segment: 4,1,1,1","","","","","","","","",""
55fb6096-5c91-4178-b009-87a5af0563fb,03177e27-5de2-4c52-a3f3-1533acbca657,146.29.18.87E.18.32.39.6S,Palm Island Reefs - Pelorus Island Site 1,"","-18.544333, 146.488575",146,29,18.87,E,18,32,39.6,S,Australia,"","",Indo-Pacific,"","","","","",2019,24-September-19,5.0, 8:00 am,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",No,No,No,No,No,No,"","",no site description,"",did not record fish,"","","","","","","","",""
83cea4f7-ad53-4956-8907-aa32a4ab81a6,032d67fd-4f62-424d-a709-4faf4e76c407,153.25.15.0E.27.56.23.0S,Gold Coast Seaway Reefs - South-West Wall (Fringing reef leeward) Site 1,"","-27.939722, 153.420833",153,25,15.0,E,27,56,23.0,S,Australia,Queensland,"",Indo-Pacific,"","","","","",2022,05-May-22,4.0, 9:30 am,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",No,No,No,No,No,No,"","",no site description,"","","","","","","","","","",""
47aef157-0fa0-418f-a578-017e66b429e0,03326968-c4b6-49c1-a0f4-9582572e789b,152.54.52.4E.25.38.58.4S,Gatackers Reef - Gatackers Reef West (Fringing reef seaward) Site 2,"","-25.649556, 152.914556",152,54,52.4,E,25,38,58.4,S,Australia,Queensland,"",Indo-Pacific,"","","",true,no site description,2017,17-June-17,3.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",false,"","","","","","","","","","","","",Lots of lobophora,"","","","","","","","",""
1837bef6-3ee7-418a-b8a9-513d81e47d4c,03356377-98fc-43ff-b608-95f0b328edb0,153.6.54.0E.26.21.45.0S,Jew Shoal- The Pinnacles (The Pin) (Reef flat) Site 1,"","-26.3625, 153.115",153,6,54.0,E,26,21,45.0,S,Australia,"","",Indo-Pacific,"","","",true,no site description,2013,29-September-13,9.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",false,"","","","","","","","","","","","",3 drupella,"","","","","","","0,1,1,0",0,""
664ed33b-dd36-47dc-bb2f-94bac7c41cff,03356a4a-c332-4017-803d-969f02c18f1c,146.12.16.0E.16.52.21.0S,Moore Reef - Reef Magic Pontoon (Back reef slope) Site 1,"","-16.8725, 146.204444",146,12,16.0,E,16,52,21.0,S,Australia,Queensland,"",Indo-Pacific,"","","",true,"no site description, no fish survey",2017,28-October-17,3.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",false,"","","","","","","","","","","","",After 2 mass bleaching events  (it was showing recovery after the first one) this shallow branching aropora site has almost all died and is covered in turfing algae NIA & the MA is aspargosa.,"","","","","","","","",""
f6827513-0240-4417-bcdf-04b6dbdca9fa,0371d13b-30ff-4f8c-a126-977f01a1f40e,153.21.7.0E.27.34.8.0S,Macleay Island - Macleay Island (Fringing reef leeward) Site 1,"","-27.568889, 153.351944",153,21,7.0,E,27,34,8.0,S,Australia,Queensland,"",Indo-Pacific,"","","",true,no belt,2009,24-November-09,2.0, 9:50 am,"",Gps,"",Sunny,"","","","","","",No,NRM interest,Sometimes,No,"",Medium,"",Often,None,None,None,None,None,Low,None,None,None,None,Medium,"","",Few,"","",false,"","","","","","","","","","","","","","","","","","","","","",""
d4892c62-61fc-49ad-a920-b02af02f81b3,0392cd03-11ee-4856-bccd-ef910a6de0f7,148.52.33.0E.20.2.20.4S,Hayman Island Reefs - Blue Pearl Bay (Fringing reef leeward) Site 1,NS,"-20.039, 148.875833",148,52,33.0,E,20,2,20.4,S,Australia,Queensland,"Hayman Island, Whitsundays",Indo-Pacific,27000.0,29.0,27.0,false,"",2009,23-May-09,5.0,12:00 pm, 1:00 pm,Gps,"",Sunny,"","","","","",4.0,No,Repeat RCA site,Sometimes,No,"",Low,"",Often,None,None,None,None,None,Low,None,None,None,None,None,"","",Many,"","",true,Yes,None,Yes,Yes,Yes,Yes,Yes,No,"","",Restricted access for divers/snorkellers so very low numbers.,"","","","","","","","","0,0,1,0",0,""
5f1852cd-627e-484d-b825-b3e9331094ab,0399c9ca-2ca4-40d5-8756-effb0e683cef,153.6.46.6E.26.36.54.1S,Mudjimba (Old Woman) Island - The Ledge (Mudjimba Island) (Back reef crest) Site 3,"","-26.615028, 153.112944",153,6,46.6,E,26,36,54.1,S,Australia,Queensland,"",Indo-Pacific,"","","","","",2018,20-January-18,6.0,11:00 am,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",No,No,No,No,No,No,"","",no site description,"","",17 drupella; Coral disease colony = 0/0/1%/2%,"","","","","","","",""
d7b25a5d-7051-48b6-a368-4ea743013b94,040b6823-16a4-461c-b5fa-7eb9dbe49364,153.31.30.96E.27.24.51.55S,Shag Rock Island - Shag Rock West Site 1,"","-27.414319, 153.525268",153,31,30.96,E,27,24,51.55,S,Australia,"","",Indo-Pacific,"","","","","",2023,19-June-23,9.0, 3:00 pm,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",No,No,No,No,No,No,"","",no site description,"","",84 drupella,"","","","","","","",""
f2ddef19-3798-4dc1-b61f-78a5b88ba40d,041ebef9-00c6-41ad-85fd-053a8ec6cea6,146.50.50.0E.19.10.10.0S,Magnetic Island Reefs - Nelly Bay (Fringing reef leeward) Site 4,"","-19.169444, 146.847222",146,50,50.0,E,19,10,10.0,S,Australia,Queensland,Burdekin,Indo-Pacific,"","","",true,"no site description, no fish survey",2017,15-October-17,2.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",false,"","","","","","","","","","",Survey was done aft a macroalgal removal project for Reef Recovery with Reef Ecologic. Only points where sargasm were removed was the first half of T1.,"",1 epaulette shark in T1,"","","","","","","","",""
6312b675-97ab-45a6-bed8-186baf180771,04663be3-1925-42d4-b052-2d2c6fcbef50,146.52.13.0E.19.8.54.0S,Magnetic Island Reefs - Alma Bay (Fringing reef leeward) Site 2,"","-19.148333, 146.870278",146,52,13.0,E,19,8,54.0,S,Australia,Queensland,"",Indo-Pacific,"","","",true,"no site description, no fish survey",2016,09-April-16,3.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",false,"","","","","","","","","","","","","","","","","","","","",25-45m Coral Trout & 50-70m Big Cone Shell,""
b5f72d25-2bdd-4053-800e-cc65c294e3ac,04fdd27d-fe59-4248-bf2a-9f414a6de936,145.51.43.0E.16.14.31.0S,Opal Reef - The Wedge (Back reef slope) Site 1,"","-16.241944, 145.861944",145,51,43.0,E,16,14,31.0,S,Australia,Queensland,"",Indo-Pacific,"","","",true,no site description; did not record fish,2013,26-May-13,5.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",false,"","","","","","","","","","","","",2 anemones,"","","","","","","1,2,0,1",0,""
4260581a-6c61-45a1-920b-d3d15d0d2e9f,0503607d-1004-4bc5-9e2b-8b60dc3e8287,153.14.19.6E.27.20.41.4S,Mud Island - Rubble Patch (Fringing reef leeward) Site 1,"","-27.344833, 153.238778",153,14,19.6,E,27,20,41.4,S,Australia,Queensland,South East,Indo-Pacific,"","","",true,"no site description, no fish survey",2017,17-December-17,2.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",false,"","","","","","","","","","","","",A lot of SC just off the mark (either in reference to 90.5 or in general),"","","","","","","","",""
ed03c359-4d8e-46df-86ec-5e394f9ed4b7,0509b5aa-a909-4829-85eb-059233a1689a,146.34.25.7E.18.44.2.4S,Palm Island Reefs - Challenger Bay (Reef flat) Site 1,"","-18.734, 146.573806",146,34,25.7,E,18,44,2.4,S,Australia,Queensland,"",Indo-Pacific,"","","",true,no site description or belt,2013,15-November-13,1.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",false,"","","","","","","","","","","","","","","","","","","","","",""
432a9b0b-1fc5-426e-9343-3478177c8360,051ae832-9072-4525-9c43-0790540f726e,153.28.33.0E.28.6.33.0S,Palm Beach Reef - Palm Beach Reef (Fringing reef seaward) Site 1,"","-28.109167, 153.475833",153,28,33.0,E,28,6,33.0,S,Australia,Queensland,"",Indo-Pacific,"","","",false,"",2008,03-August-08,9.0, 8:25 am, 9:15 am,Gps,"",Sunny,"","","","","",10.0,Yes,Coral reef close to urban pressures,Exposed,Yes,1-11-08,Medium,"",Often,None,None,Medium,High,Low,Medium,Medium,Medium,Low,Low,High,"","",Few,"","",false,"","","","","","","","","","",fleshwater flow from local rivers,"","","","","","","","",0,0,""
171d92d3-40bf-418f-a9df-2a6fcfd27089,05a5d8bc-9a28-4660-9bbf-9a29897c20e7,153.29.2.0E.26.58.39.0S,Flinders Reef - Nursery (Back reef slope) Site 3,"","-26.9775, 153.483889",153,29,2.0,E,26,58,39.0,S,Australia,Queensland,"",Indo-Pacific,"","","","","",2019,20-October-19,9.0,11:30 am,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",No,No,No,No,No,No,"","",no site description,"","",3 drupella,"","","","","","","",""
941819a5-a99f-47c0-8f2c-d23d1bd0f747,061e7e66-6a38-4dad-a885-303484c6fb59,153.26.0.2E.27.59.12.1S,Narrowneck Reef- Narrowneck Artificial Reef (Fringing reef seaward) Site 1,"","-27.986694, 153.433389",153,26,0.2,E,27,59,12.1,S,Australia,"","",Indo-Pacific,"","","",true,did not survey fish or inverts,2011,12-October-11,5.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",false,"","","","","","","","","","","","","","","","","","","","","",""
d73c84c6-1e09-4ad7-bcb4-11d162090301,06277567-3419-4923-a681-86552ecaf986,145.52.3.2E.16.13.51.1S,Opal Reef - Split Bommie (Back reef wall) Site1,"","-16.230861, 145.867556",145,52,3.2,E,16,13,51.1,S,Australia,Queensland,"Port Douglas, South Opal Reef",Indo-Pacific,50004.0,46.0,60.0,false,"",2010,04-February-10,7.0, 1:30 pm, 2:30 pm,Gps,"",Sunny,"","","","","",15.0,No,Has been previously surveyed,Sometimes,Yes,1-28-10,Low,"",Occasionally,None,None,None,None,None,High,None,None,None,None,None,"","",Few,"","",true,Yes,None,Yes,Yes,Yes,Yes,Yes,No,"","",Cyclone Olga (end Jan 2010),"","","","","","","","",0,0,""
93f03dde-0a68-4691-888e-c9209082b72a,0647f610-8cff-4bef-9509-e469844650e7,149.16.6.0E.19.34.18.0S,Knuckle Reef - Knuckle Reef (Back reef slope) Site 1,"","-19.571667, 149.268333",149,16,6.0,E,19,34,18.0,S,Australia,Queensland,Airlie Beach,Indo-Pacific,95000.0,112.6,95.0,false,"",2009,24-May-09,5.0,11:20 am,12:20 pm,Gps,"",Sunny,"","","","","",10.0,No,Repeat RCA site,Sometimes,Yes,3-8-09 Cyclone Hamish,Low,"",Occasionally,None,None,None,None,None,High,None,None,Medium,Medium,Low,"","",Few,"","",true,Yes,None,No,No,No,No,No,No,"","","","","","","","","","","","1,1,0,0",0,""
e1cf91b0-0fbb-40d9-a3e0-11786a2958f2,066240e6-2b61-44f6-a97a-be817bce80df,145.58.0.0E.16.0.0.0S,Michaelmas Reef - Michaelmas Reef (Lagoon) Site 1,"","-16.0, 145.966667",145,58,0.0,E,16,0,0.0,S,Australia,Queensland,Cape York,Indo-Pacific,"","","",true,"no site description, no fish survey",2016,30-October-16,4.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",false,"","","","","","","","","","","","","","","","","","","","","",""
27f3b8a3-e0d8-46e7-8871-837496416658,066efa5d-bd74-4f0e-920d-a1a3858d8b91,153.9.28.3E.26.45.6.0S,Currimundi Reef - Currimundi Reef (Other) Site 1/3,"","-26.751667, 153.157861",153,9,28.3,E,26,45,6.0,S,Australia,"","",Indo-Pacific,"","","","","",2020,09-May-20,9.0, 8:30 am,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",No,No,No,No,No,No,"","",no site description,"","",Coral disease population = 1%/1%/0/1%; Coral disease colony = 1%/3%/0/1%,"","","","","","","",""
d3495ba6-373b-4e43-8bb7-a6c2250d2171,069ffb46-c26b-49f2-8830-646e25fc624c,153.22.14.5E.27.30.7.9S,Peel Island - Peel Island East (Fringing reef leeward) Site 1,"","-27.502194, 153.370694",153,22,14.5,E,27,30,7.9,S,Australia,Queensland,"",Indo-Pacific,"","","","","",2020,27-May-20,5.0, 1:31 pm,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",No,No,No,No,No,No,"","",no site description,"","","2 drupella; Coral disease population = 1%/0/0/0, Coral disease colony = 1%/0/0/0","","","","","","","",""
eebfbc97-8a59-462b-946c-f5f19f194460,06d6d932-43ee-4074-b480-9684c13cba27,153.31.52.0E.28.9.45.1S,Kirra Reef - Outer Kirra Reef (Other) Site 1,"","-28.162528, 153.531111",153,31,52.0,E,28,9,45.1,S,Australia,Queensland,South East,Indo-Pacific,"","","",true,"no site description, no fish survey",2016,19-April-16,4.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",false,"","","","","","","","","","","","",OTHER: Crustose,"","","","","","","","",""
436ad694-ea01-4a37-80a0-a68023d82c5c,07125ba4-eb7a-40ba-acc0-b46e2e0bc3e3,151.54.33.8E.23.26.35.2S,Heron Reef- Jetty Flat (Reef flat) Site 1,"","-23.443111, 151.909389",151,54,33.8,E,23,26,35.2,S,Australia,"","",Indo-Pacific,"","","",true,"no site description, did not record fish",2012,05-July-12,1.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",false,"","","","","","","","","","","","","","","","","","","","2,3,4,3",0,""
97fa0351-4d83-4fd8-a9d4-8d1efdbff4ea,074f5859-2891-4e6b-bf8a-33b0663f512c,145.33.45.6E.16.22.59.4S,Low Isles Reef - Low Isles (Fringing reef leeward) Site 1,SE-NW,"-16.383167, 145.562667",145,33,45.6,E,16,22,59.4,S,Australia,Queensland,"",Indo-Pacific,7900.0,8.0,8.0,"","",2019,07-August-19,2.0, 9:00 am,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",No,No,No,No,No,No,"","",no site description,"",did not record fish,"","","","","","","","",""
8aba02f6-8bcf-43b9-87f3-e48ba15b6bbf,076c243b-afef-4ead-a81e-cea5e9c65782,146.30.25.3E.18.40.8.2S,Palm Island Reefs - Fantome Island (Juno Bay) (Fringing reef leeward) Site 2,"","-18.668944, 146.507028",146,30,25.3,E,18,40,8.2,S,Australia,Queensland,Palm Islands,Indo-Pacific,500.0,38.0,38.0,"","",2019,25-September-19,2.0, 9:00 am,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",No,No,No,No,No,No,"","",no site description,"",did not record fish,Coral disease colony = 1%/0/0/5%,"","","","","","","",""
66ac8a48-019d-4ad3-a4ca-85df36cfcff2,0789f67e-4e4f-40bd-9113-d8668714a862,153.33.4.0E.27.23.26.0S,Flat Rock Island - The Nursery (Fringing reef leeward) Site 1,"","-27.390556, 153.551111",153,33,4.0,E,27,23,26.0,S,Australia,Queensland,"",Indo-Pacific,"","","",false,"",2009,25-June-09,7.0,10:00 am,11:00 am,Gps,"",Sunny,"","","","","",10.0,No,"Previously surveyed, newly declared green zone, grey nurse shark area",Sometimes,Yes,6-15-09,Medium,"",Occasionally,None,None,Low,None,None,Medium,None,None,None,None,Low,"","",Many,"","",true,Yes,Low (<1/month),Yes,Yes,Yes,Yes,No,No,"","","Has definitely noticed more & bigger reef fish on neighboring Shag Rock since the re-zoning, Area potentially impacted by March 2009 Oil Spill. Cherubs Cave is the best local reef, Flat Rock is #2","","","","","","","","","0,0,1,7",1,""
9554f0da-e237-42f1-b409-f59b220a78dd,07932312-8862-473c-ba74-d2525d0a98d5,146.51.57.0E.19.9.15.0S,Magnetic Island Reefs - Geoffrey Bay (Fringing reef leeward) Site 1,"","-19.154167, 146.865833",146,51,57.0,E,19,9,15.0,S,Australia,Queensland,Magnetic Island,Indo-Pacific,600.0,"",0.1,true,did not record fish,2008,20-June-08,3.0,"","","",<10m,"","","","","",200.0,"",Yes,"",Sometimes,No,"",Low,"",Often,None,None,None,None,None,Medium,None,None,None,None,Medium,"","",Few,"","",true,Yes,None,Yes,Yes,Yes,Yes,Yes,No,"","","","","1 trochus, 1 drupella, 1 drupella scar","","","","","","",0,0,""
3645c578-c9aa-42aa-baa3-9f4e03667182,07993abf-c156-4178-a656-6762126f0c75,153.26.14.4E.27.24.2.5S,Amity Point - Amity Point (Back reef wall) Site 2,"","-27.400694, 153.437333",153,26,14.4,E,27,24,2.5,S,Australia,South East (QLD),"",Indo-Pacific,"","","",true,"no site description, no fish survey",2016,17-September-16,2.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",false,"","","","","","","","","","","","",OT=Shells urchins OT at 10.5=Pushbike,"","","","","","","","",""
